Term	P_rho	P_pval	C_rho	C_pval	RLIPP
NEST:82	3.393e-01	2.619e-05	2.986e-01	2.391e-04	1.136e+00
NEST:83	3.798e-01	2.087e-06	1.935e-01	1.886e-02	1.963e+00
NEST:165	1.726e-01	3.658e-02	2.997e-01	2.264e-04	5.759e-01
NEST:186	1.238e-01	1.353e-01	6.375e-02	4.430e-01	1.941e+00
NEST:193	1.075e-01	1.949e-01	1.024e-01	2.173e-01	1.050e+00
NEST:199	1.774e-01	3.155e-02	1.213e-01	1.435e-01	1.463e+00
NEST:293	1.741e-01	3.496e-02	2.886e-01	3.930e-04	6.032e-01
NEST:94	1.432e-01	8.355e-02	9.548e-02	2.500e-01	1.500e+00
NEST:97	2.699e-02	7.456e-01	1.188e-01	1.519e-01	2.272e-01
NEST:27	-4.651e-02	5.759e-01	6.061e-02	4.659e-01	-7.675e-01
NEST:158	2.300e-01	5.079e-03	2.722e-01	8.538e-04	8.450e-01
NEST:134	2.709e-02	7.447e-01	1.385e-01	9.435e-02	1.956e-01
NEST:42	1.110e-01	1.806e-01	1.725e-01	3.668e-02	6.437e-01
NEST:93	1.479e-01	7.382e-02	2.214e-01	7.050e-03	6.681e-01
NEST:35	2.461e-01	2.657e-03	2.429e-01	3.028e-03	1.013e+00
NEST:39	1.078e-01	1.938e-01	2.256e-01	5.997e-03	4.777e-01
NEST:11	2.628e-01	1.299e-03	2.661e-01	1.125e-03	9.878e-01
NEST:78	1.283e-01	1.216e-01	9.533e-02	2.508e-01	1.345e+00
NEST:24	1.222e-01	1.405e-01	1.737e-01	3.537e-02	7.033e-01
NEST:196	2.005e-01	1.487e-02	2.294e-01	5.184e-03	8.741e-01
NEST:163	2.274e-01	5.603e-03	2.902e-01	3.632e-04	7.837e-01
NEST:54	1.197e-01	1.488e-01	1.796e-01	2.953e-02	6.664e-01
NEST:277	1.452e-01	7.930e-02	3.356e-02	6.866e-01	4.327e+00
NEST:59	2.408e-01	3.307e-03	1.752e-01	3.377e-02	1.374e+00
NEST:125	1.420e-02	8.645e-01	1.684e-01	4.147e-02	8.432e-02
NEST:231	1.694e-01	4.020e-02	2.856e-01	4.542e-04	5.933e-01
NEST:80	2.099e-01	1.072e-02	7.780e-02	3.489e-01	2.698e+00
NEST	1.000e+00	0.000e+00	9.912e-01	3.641e-129	1.009e+00
NEST:6	7.182e-01	1.338e-24	6.540e-01	2.664e-19	1.098e+00
NEST:58	4.740e-01	1.323e-09	4.987e-01	1.284e-10	9.504e-01
NEST:73	4.764e-01	1.068e-09	5.037e-01	7.887e-11	9.458e-01
NEST:3	8.816e-01	4.008e-49	8.524e-01	1.161e-42	1.034e+00
NEST:32	3.400e-01	2.521e-05	4.075e-01	3.007e-07	8.342e-01
NEST:4	7.664e-01	1.157e-29	7.456e-01	2.411e-27	1.028e+00
NEST:1	9.237e-01	2.791e-62	8.678e-01	6.920e-46	1.064e+00
NEST:7	4.189e-01	1.291e-07	4.415e-01	2.177e-08	9.488e-01
NEST:50	6.397e-01	2.744e-18	6.377e-01	3.787e-18	1.003e+00
NEST:15	6.973e-01	1.008e-22	7.135e-01	3.660e-24	9.773e-01
NEST:10	5.344e-01	3.131e-12	5.410e-01	1.509e-12	9.879e-01
NEST:92	1.279e-01	1.226e-01	1.652e-01	4.558e-02	7.744e-01
NEST:9	5.075e-01	5.360e-11	4.286e-01	6.112e-08	1.184e+00
NEST:30	4.089e-01	2.715e-07	3.642e-01	5.778e-06	1.123e+00
NEST:79	2.758e-01	7.223e-04	3.420e-01	2.243e-05	8.065e-01
NEST:98	1.903e-01	2.098e-02	2.113e-01	1.020e-02	9.005e-01
NEST:5	3.946e-01	7.603e-07	4.244e-01	8.478e-08	9.298e-01
NEST:108	1.751e-01	3.388e-02	2.768e-01	6.887e-04	6.326e-01
NEST:102	5.035e-01	8.020e-11	5.548e-01	3.051e-13	9.075e-01
NEST:110	4.930e-01	2.249e-10	5.242e-01	9.457e-12	9.404e-01
NEST:107	4.296e-01	5.657e-08	3.942e-01	7.811e-07	1.090e+00
NEST:53	3.509e-01	1.315e-05	2.957e-01	2.767e-04	1.187e+00
NEST:65	5.447e-01	9.863e-13	2.632e-01	1.275e-03	2.069e+00
NEST:91	5.551e-01	2.976e-13	3.650e-01	5.486e-06	1.521e+00
NEST:8	5.849e-01	7.353e-15	6.124e-01	1.701e-16	9.551e-01
NEST:130	2.262e-01	5.882e-03	1.552e-01	6.047e-02	1.457e+00
NEST:38	7.015e-01	4.360e-23	5.384e-01	2.018e-12	1.303e+00
NEST:121	7.023e-02	3.979e-01	1.414e-01	8.751e-02	4.966e-01
NEST:119	1.759e-01	3.306e-02	1.541e-01	6.234e-02	1.141e+00
NEST:18	5.189e-01	1.669e-11	4.412e-01	2.234e-08	1.176e+00
NEST:25	3.398e-01	2.552e-05	1.703e-01	3.921e-02	1.995e+00
NEST:12	5.592e-01	1.819e-13	5.139e-01	2.796e-11	1.088e+00
NEST:60	3.574e-01	8.855e-06	2.902e-01	3.633e-04	1.231e+00
NEST:104	4.698e-01	1.929e-09	4.663e-01	2.635e-09	1.008e+00
NEST:2	6.974e-01	9.921e-23	6.975e-01	9.795e-23	9.999e-01
NEST:14	2.409e-01	3.287e-03	2.099e-01	1.071e-02	1.148e+00
NEST:174	4.220e-01	1.018e-07	4.004e-01	5.047e-07	1.054e+00
NEST:17	4.146e-01	1.781e-07	3.951e-01	7.339e-07	1.049e+00
NEST:19	3.189e-01	8.278e-05	3.418e-01	2.269e-05	9.330e-01
NEST:22	1.074e-01	1.954e-01	1.523e-01	6.559e-02	7.053e-01
NEST:20	1.701e-01	3.941e-02	2.392e-01	3.521e-03	7.111e-01
NEST:26	3.433e-01	2.069e-05	2.502e-01	2.236e-03	1.372e+00
NEST:23	1.507e-01	6.849e-02	1.678e-01	4.226e-02	8.982e-01
NEST:36	5.811e-02	4.845e-01	1.403e-02	8.661e-01	4.143e+00
NEST:16	1.353e-01	1.023e-01	1.048e-01	2.066e-01	1.291e+00
NEST:29	4.191e-02	6.143e-01	9.617e-02	2.465e-01	4.358e-01
NEST:31	1.520e-01	6.612e-02	1.828e-01	2.664e-02	8.312e-01
NEST:34	5.595e-01	1.757e-13	4.643e-01	3.155e-09	1.205e+00
NEST:40	8.946e-02	2.812e-01	1.092e-01	1.878e-01	8.189e-01
NEST:44	2.039e-01	1.323e-02	2.262e-01	5.880e-03	9.017e-01
NEST:49	1.272e-01	1.247e-01	7.186e-03	9.312e-01	1.770e+01
NEST:66	3.759e-01	2.713e-06	3.786e-01	2.261e-06	9.927e-01
NEST:45	5.019e-02	5.461e-01	9.821e-02	2.367e-01	5.110e-01
NEST:69	2.154e-01	8.800e-03	2.155e-01	8.750e-03	9.993e-01
NEST:137	2.827e-01	5.222e-04	2.291e-01	5.256e-03	1.234e+00
NEST:145	1.860e-01	2.409e-02	2.506e-01	2.200e-03	7.421e-01
NEST:138	2.149e-01	8.955e-03	3.189e-01	8.238e-05	6.737e-01
NEST:168	4.875e-01	3.796e-10	4.132e-01	1.972e-07	1.180e+00
NEST:169	8.337e-02	3.154e-01	1.675e-01	4.253e-02	4.976e-01
NEST:127	1.479e-01	7.391e-02	2.215e-01	7.011e-03	6.675e-01
NEST:212	4.371e-01	3.108e-08	4.533e-01	8.121e-09	9.642e-01
NEST:170	1.681e-01	4.189e-02	1.508e-01	6.832e-02	1.115e+00
NEST:105	1.163e-01	1.606e-01	3.444e-02	6.788e-01	3.377e+00
NEST:77	7.340e-02	3.770e-01	4.881e-02	5.572e-01	1.504e+00
NEST:254	2.578e-01	1.618e-03	3.158e-01	9.743e-05	8.163e-01
NEST:52	4.052e-01	3.576e-07	3.245e-01	6.062e-05	1.248e+00
NEST:81	1.271e-01	1.249e-01	3.188e-01	8.317e-05	3.988e-01
NEST:146	3.971e-01	6.382e-07	4.021e-01	4.468e-07	9.876e-01
NEST:129	2.358e-01	4.040e-03	2.582e-01	1.592e-03	9.132e-01
NEST:112	4.910e-01	2.714e-10	3.190e-01	8.213e-05	1.539e+00
NEST:117	1.794e-01	2.972e-02	1.931e-01	1.912e-02	9.290e-01
NEST:123	2.295e-01	5.180e-03	2.444e-01	2.848e-03	9.387e-01
NEST:126	4.217e-01	1.041e-07	1.970e-01	1.680e-02	2.141e+00
NEST:133	1.134e-02	8.916e-01	1.222e-01	1.405e-01	9.285e-02
NEST:155	2.115e-01	1.012e-02	2.379e-01	3.718e-03	8.892e-01
NEST:177	3.266e-01	5.421e-05	3.638e-01	5.920e-06	8.976e-01
NEST:85	5.353e-01	2.841e-12	2.844e-01	4.807e-04	1.882e+00
NEST:150	4.859e-01	4.399e-10	4.562e-01	6.343e-09	1.065e+00
NEST:90	4.734e-02	5.691e-01	2.299e-01	5.081e-03	2.059e-01
NEST:61	2.371e-01	3.834e-03	1.867e-01	2.354e-02	1.270e+00
NEST:210	2.890e-01	3.846e-04	2.894e-01	3.776e-04	9.987e-01
NEST:55	4.731e-01	1.442e-09	3.527e-01	1.182e-05	1.341e+00
NEST:142	3.659e-01	5.176e-06	1.362e-01	1.001e-01	2.687e+00
NEST:153	3.378e-01	2.853e-05	3.076e-01	1.510e-04	1.098e+00
NEST:182	3.578e-01	8.609e-06	3.815e-01	1.870e-06	9.380e-01
NEST:221	2.492e-01	2.336e-03	2.606e-01	1.436e-03	9.565e-01
NEST:239	2.659e-01	1.132e-03	2.940e-01	3.015e-04	9.046e-01
NEST:132	2.024e-01	1.397e-02	1.876e-01	2.292e-02	1.079e+00
NEST:89	3.121e-01	1.189e-04	2.171e-01	8.253e-03	1.437e+00
NEST:195	2.608e-01	1.418e-03	2.559e-01	1.760e-03	1.019e+00
NEST:21	3.893e-01	1.100e-06	4.028e-01	4.233e-07	9.664e-01
NEST:70	-5.650e-03	9.459e-01	2.267e-01	5.751e-03	-2.492e-02
NEST:13	3.920e-01	9.112e-07	3.967e-01	6.541e-07	9.881e-01
NEST:256	3.412e-01	2.344e-05	3.959e-01	6.932e-07	8.619e-01
NEST:33	1.667e-01	4.354e-02	1.421e-01	8.589e-02	1.173e+00
NEST:47	3.472e-01	1.645e-05	3.163e-01	9.514e-05	1.098e+00
NEST:48	7.374e-02	3.747e-01	1.238e-01	1.353e-01	5.959e-01
NEST:63	4.832e-02	5.611e-01	1.514e-01	6.716e-02	3.191e-01
NEST:84	3.595e-01	7.768e-06	2.273e-01	5.620e-03	1.581e+00
NEST:202	1.240e-01	1.347e-01	1.764e-01	3.256e-02	7.027e-01
NEST:43	4.451e-03	9.573e-01	8.456e-02	3.085e-01	5.264e-02
NEST:51	1.617e-01	5.046e-02	2.757e-01	7.260e-04	5.864e-01
NEST:57	3.444e-01	1.947e-05	2.599e-01	1.479e-03	1.325e+00
NEST:82	3.675e-01	4.673e-06	3.642e-01	5.760e-06	1.009e+00
NEST:83	3.380e-01	2.825e-05	2.910e-01	3.498e-04	1.162e+00
NEST:165	1.914e-01	2.023e-02	1.659e-01	4.464e-02	1.154e+00
NEST:186	2.152e-01	8.861e-03	1.658e-02	8.420e-01	1.298e+01
NEST:193	1.541e-01	6.230e-02	8.662e-02	2.968e-01	1.779e+00
NEST:199	1.384e-01	9.449e-02	7.732e-02	3.519e-01	1.790e+00
NEST:293	1.579e-01	5.606e-02	1.623e-01	4.947e-02	9.729e-01
NEST:94	2.339e-01	4.357e-03	2.338e-01	4.378e-03	1.001e+00
NEST:97	1.508e-01	6.824e-02	-1.577e-02	8.497e-01	-9.566e+00
NEST:27	5.042e-02	5.442e-01	6.624e-02	4.254e-01	7.611e-01
NEST:158	4.344e-02	6.014e-01	1.891e-01	2.176e-02	2.297e-01
NEST:134	1.321e-01	1.108e-01	1.494e-01	7.088e-02	8.839e-01
NEST:42	1.687e-01	4.109e-02	1.324e-01	1.098e-01	1.274e+00
NEST:93	1.830e-01	2.653e-02	2.100e-01	1.069e-02	8.714e-01
NEST:35	1.809e-01	2.832e-02	2.386e-01	3.603e-03	7.581e-01
NEST:39	1.509e-01	6.816e-02	2.579e-01	1.614e-03	5.850e-01
NEST:11	2.776e-01	6.631e-04	2.103e-01	1.056e-02	1.320e+00
NEST:78	2.228e-01	6.668e-03	1.891e-01	2.180e-02	1.179e+00
NEST:24	3.863e-02	6.423e-01	-3.293e-02	6.921e-01	-1.173e+00
NEST:196	1.062e-01	2.003e-01	2.609e-01	1.416e-03	4.073e-01
NEST:163	1.715e-01	3.783e-02	1.534e-01	6.352e-02	1.118e+00
NEST:54	1.425e-01	8.519e-02	7.877e-02	3.429e-01	1.809e+00
NEST:277	2.092e-01	1.098e-02	2.591e-01	1.533e-03	8.077e-01
NEST:59	1.775e-01	3.148e-02	1.951e-01	1.787e-02	9.098e-01
NEST:125	2.176e-01	8.094e-03	2.271e-01	5.671e-03	9.584e-01
NEST:231	2.588e-01	1.551e-03	3.038e-01	1.837e-04	8.519e-01
NEST:80	1.204e-01	1.464e-01	1.417e-01	8.681e-02	8.492e-01
NEST	1.000e+00	1.239e-289	9.902e-01	1.266e-121	1.010e+00
NEST:6	7.406e-01	6.034e-26	6.881e-01	3.089e-21	1.076e+00
NEST:58	5.434e-01	2.796e-12	5.604e-01	4.097e-13	9.696e-01
NEST:73	4.632e-01	6.441e-09	4.669e-01	4.695e-09	9.920e-01
NEST:3	8.863e-01	1.193e-48	8.548e-01	1.041e-41	1.037e+00
NEST:32	3.635e-01	8.726e-06	3.801e-01	3.067e-06	9.563e-01
NEST:4	8.027e-01	3.106e-33	6.896e-01	2.323e-21	1.164e+00
NEST:1	9.169e-01	1.056e-57	8.291e-01	3.597e-37	1.106e+00
NEST:7	3.943e-01	1.205e-06	3.639e-01	8.545e-06	1.084e+00
NEST:50	6.303e-01	4.271e-17	6.486e-01	2.614e-18	9.719e-01
NEST:15	7.485e-01	9.350e-27	7.080e-01	6.752e-23	1.057e+00
NEST:10	6.579e-01	5.785e-19	6.824e-01	8.688e-21	9.642e-01
NEST:92	3.121e-01	1.565e-04	2.620e-01	1.636e-03	1.191e+00
NEST:9	4.679e-01	4.320e-09	4.383e-01	4.870e-08	1.067e+00
NEST:30	4.564e-01	1.138e-08	3.651e-01	7.938e-06	1.250e+00
NEST:79	3.771e-01	3.737e-06	4.359e-01	5.870e-08	8.649e-01
NEST:98	3.005e-01	2.790e-04	2.123e-01	1.119e-02	1.415e+00
NEST:5	3.199e-01	1.043e-04	3.559e-01	1.385e-05	8.989e-01
NEST:108	2.531e-01	2.370e-03	2.698e-01	1.165e-03	9.381e-01
NEST:102	5.271e-01	1.592e-11	5.379e-01	5.064e-12	9.799e-01
NEST:110	5.027e-01	1.836e-10	5.038e-01	1.640e-10	9.977e-01
NEST:107	4.255e-01	1.302e-07	3.685e-01	6.415e-06	1.155e+00
NEST:53	3.759e-01	4.032e-06	3.196e-01	1.058e-04	1.176e+00
NEST:65	6.075e-01	1.092e-15	3.832e-01	2.520e-06	1.585e+00
NEST:91	5.504e-01	1.286e-12	4.069e-01	5.016e-07	1.353e+00
NEST:8	6.547e-01	9.866e-19	6.538e-01	1.143e-18	1.001e+00
NEST:130	2.361e-01	4.673e-03	2.568e-01	2.036e-03	9.194e-01
NEST:38	6.822e-01	9.026e-21	3.529e-01	1.655e-05	1.933e+00
NEST:121	1.945e-01	2.038e-02	2.136e-01	1.072e-02	9.107e-01
NEST:119	2.470e-01	3.040e-03	2.591e-01	1.847e-03	9.534e-01
NEST:18	5.494e-01	1.439e-12	1.615e-01	5.488e-02	3.402e+00
NEST:25	4.136e-01	3.122e-07	1.463e-01	8.233e-02	2.827e+00
NEST:12	4.380e-01	5.017e-08	4.241e-01	1.440e-07	1.033e+00
NEST:60	3.774e-01	3.655e-06	2.220e-01	7.922e-03	1.700e+00
NEST:104	4.526e-01	1.555e-08	4.267e-01	1.190e-07	1.061e+00
NEST:2	7.146e-01	1.743e-23	6.891e-01	2.563e-21	1.037e+00
NEST:14	1.781e-01	3.392e-02	8.663e-02	3.053e-01	2.056e+00
NEST:174	2.201e-01	8.497e-03	3.393e-01	3.626e-05	6.487e-01
NEST:17	3.144e-01	1.383e-04	3.131e-01	1.481e-04	1.004e+00
NEST:19	2.603e-01	1.755e-03	2.771e-01	8.431e-04	9.395e-01
NEST:22	1.471e-02	8.621e-01	1.890e-02	8.233e-01	7.783e-01
NEST:20	2.493e-01	2.774e-03	2.481e-01	2.911e-03	1.005e+00
NEST:26	2.851e-01	5.828e-04	1.668e-01	4.727e-02	1.710e+00
NEST:23	2.999e-02	7.231e-01	8.769e-02	2.994e-01	3.420e-01
NEST:36	4.155e-02	6.235e-01	6.978e-02	4.093e-01	5.954e-01
NEST:16	1.597e-01	5.769e-02	3.772e-01	3.702e-06	4.233e-01
NEST:29	6.267e-02	4.588e-01	1.395e-01	9.769e-02	4.491e-01
NEST:31	1.775e-01	3.461e-02	2.301e-01	5.872e-03	7.713e-01
NEST:34	5.462e-01	2.050e-12	5.134e-01	6.449e-11	1.064e+00
NEST:40	-8.973e-03	9.156e-01	-1.629e-04	9.985e-01	5.509e+01
NEST:44	1.811e-01	3.102e-02	1.809e-01	3.123e-02	1.001e+00
NEST:49	5.484e-02	5.168e-01	5.377e-02	5.251e-01	1.020e+00
NEST:66	4.765e-01	2.054e-09	4.665e-01	4.858e-09	1.021e+00
NEST:45	1.071e-01	2.048e-01	1.114e-01	1.870e-01	9.613e-01
NEST:69	1.873e-01	2.561e-02	1.825e-01	2.973e-02	1.026e+00
NEST:137	1.803e-01	3.178e-02	2.848e-01	5.932e-04	6.332e-01
NEST:145	3.248e-02	7.012e-01	2.007e-01	1.662e-02	1.618e-01
NEST:138	2.722e-01	1.047e-03	1.497e-01	7.535e-02	1.818e+00
NEST:168	4.236e-01	1.503e-07	2.608e-01	1.720e-03	1.624e+00
NEST:169	1.989e-01	1.766e-02	2.508e-01	2.610e-03	7.930e-01
NEST:127	8.056e-02	3.406e-01	5.120e-03	9.518e-01	1.573e+01
NEST:212	3.497e-01	1.993e-05	3.371e-01	4.097e-05	1.037e+00
NEST:170	1.970e-01	1.880e-02	2.272e-01	6.542e-03	8.669e-01
NEST:105	7.246e-02	3.914e-01	6.234e-02	4.611e-01	1.162e+00
NEST:77	5.527e-02	5.135e-01	7.205e-02	3.941e-01	7.671e-01
NEST:254	2.583e-01	1.913e-03	3.082e-01	1.905e-04	8.381e-01
NEST:52	5.425e-01	3.098e-12	4.109e-01	3.790e-07	1.320e+00
NEST:81	1.591e-01	5.868e-02	1.584e-01	5.981e-02	1.004e+00
NEST:146	2.587e-01	1.879e-03	2.751e-01	9.209e-04	9.404e-01
NEST:129	2.336e-01	5.145e-03	1.694e-01	4.384e-02	1.379e+00
NEST:112	4.652e-01	5.462e-09	2.629e-01	1.573e-03	1.769e+00
NEST:117	2.618e-01	1.645e-03	1.918e-01	2.219e-02	1.365e+00
NEST:123	2.802e-01	7.318e-04	2.630e-01	1.565e-03	1.065e+00
NEST:126	3.046e-01	2.279e-04	2.434e-01	3.507e-03	1.251e+00
NEST:133	1.585e-01	5.954e-02	2.498e-01	2.716e-03	6.345e-01
NEST:155	1.950e-01	2.004e-02	3.286e-01	6.542e-05	5.935e-01
NEST:177	3.348e-01	4.638e-05	3.347e-01	4.674e-05	1.000e+00
NEST:85	3.309e-01	5.757e-05	3.471e-01	2.322e-05	9.535e-01
NEST:150	4.944e-01	4.022e-10	4.336e-01	7.030e-08	1.140e+00
NEST:90	1.275e-01	1.305e-01	2.589e-01	1.861e-03	4.924e-01
NEST:61	1.269e-01	1.325e-01	1.587e-01	5.920e-02	7.992e-01
NEST:210	2.139e-01	1.060e-02	2.437e-01	3.469e-03	8.775e-01
NEST:55	3.871e-01	1.952e-06	2.109e-01	1.177e-02	1.835e+00
NEST:142	2.131e-01	1.090e-02	2.064e-01	1.372e-02	1.032e+00
NEST:153	2.511e-01	2.582e-03	3.040e-01	2.354e-04	8.259e-01
NEST:182	2.093e-01	1.245e-02	1.791e-01	3.292e-02	1.168e+00
NEST:221	1.811e-01	3.098e-02	1.654e-01	4.923e-02	1.095e+00
NEST:239	1.082e-01	1.999e-01	1.248e-01	1.388e-01	8.667e-01
NEST:132	2.585e-01	1.892e-03	9.972e-02	2.377e-01	2.593e+00
NEST:89	1.921e-01	2.202e-02	-2.826e-02	7.385e-01	-6.797e+00
NEST:195	2.625e-01	1.600e-03	1.296e-01	1.244e-01	2.026e+00
NEST:21	2.236e-01	7.488e-03	2.278e-01	6.404e-03	9.814e-01
NEST:70	9.749e-02	2.484e-01	1.384e-01	1.005e-01	7.046e-01
NEST:13	3.130e-01	1.491e-04	2.169e-01	9.514e-03	1.443e+00
NEST:256	1.530e-01	6.917e-02	1.203e-01	1.539e-01	1.272e+00
NEST:33	1.777e-01	3.442e-02	1.777e-01	3.434e-02	9.995e-01
NEST:47	4.509e-01	1.790e-08	1.046e-01	2.153e-01	4.310e+00
NEST:48	2.062e-02	8.075e-01	3.699e-02	6.620e-01	5.575e-01
NEST:63	-1.087e-03	9.898e-01	5.981e-02	4.795e-01	-1.817e-02
NEST:84	2.854e-01	5.747e-04	3.094e-01	1.793e-04	9.226e-01
NEST:202	5.174e-02	5.409e-01	7.701e-02	3.623e-01	6.718e-01
NEST:43	1.144e-02	8.926e-01	1.283e-01	1.281e-01	8.913e-02
NEST:51	1.630e-01	5.258e-02	2.201e-01	8.477e-03	7.405e-01
NEST:57	3.674e-01	6.889e-06	4.149e-01	2.847e-07	8.855e-01
NEST:82	4.762e-01	2.108e-09	3.699e-01	5.872e-06	1.287e+00
NEST:83	3.823e-01	2.671e-06	8.933e-02	2.904e-01	4.279e+00
NEST:165	2.542e-01	2.268e-03	3.299e-01	6.075e-05	7.704e-01
NEST:186	1.094e-01	1.949e-01	8.391e-02	3.208e-01	1.304e+00
NEST:193	1.243e-01	1.404e-01	1.408e-01	9.471e-02	8.832e-01
NEST:199	3.144e-01	1.387e-04	2.811e-01	7.027e-04	1.118e+00
NEST:293	1.475e-01	7.991e-02	2.686e-01	1.229e-03	5.490e-01
NEST:94	1.426e-01	9.056e-02	2.386e-01	4.248e-03	5.976e-01
NEST:97	1.491e-01	7.659e-02	2.428e-01	3.593e-03	6.140e-01
NEST:27	-6.785e-02	4.223e-01	1.401e-01	9.636e-02	-4.844e-01
NEST:158	4.559e-02	5.901e-01	4.260e-02	6.147e-01	1.070e+00
NEST:134	-7.193e-03	9.323e-01	2.032e-01	1.528e-02	-3.539e-02
NEST:42	1.755e-01	3.675e-02	2.189e-01	8.865e-03	8.015e-01
NEST:93	1.575e-01	6.124e-02	2.246e-01	7.212e-03	7.013e-01
NEST:35	2.074e-01	1.325e-02	2.131e-01	1.091e-02	9.736e-01
NEST:39	8.091e-02	3.385e-01	2.153e-01	1.007e-02	3.758e-01
NEST:11	2.014e-01	1.626e-02	2.592e-01	1.841e-03	7.769e-01
NEST:78	2.662e-02	7.532e-01	1.319e-01	1.175e-01	2.017e-01
NEST:24	3.238e-02	7.021e-01	7.085e-02	4.021e-01	4.570e-01
NEST:196	1.814e-01	3.072e-02	2.970e-01	3.317e-04	6.108e-01
NEST:163	2.510e-01	2.588e-03	2.744e-01	9.532e-04	9.149e-01
NEST:54	4.415e-02	6.019e-01	8.114e-02	3.371e-01	5.441e-01
NEST:277	1.389e-01	9.923e-02	2.504e-01	2.652e-03	5.547e-01
NEST:59	2.124e-01	1.116e-02	2.366e-01	4.582e-03	8.977e-01
NEST:125	6.201e-02	4.635e-01	1.314e-01	1.190e-01	4.719e-01
NEST:231	1.656e-01	4.885e-02	1.166e-01	1.671e-01	1.421e+00
NEST:80	5.597e-02	5.082e-01	1.137e-01	1.778e-01	4.922e-01
NEST	1.000e+00	0.000e+00	9.934e-01	8.140e-297	1.007e+00
NEST:6	7.445e-01	7.195e-57	6.868e-01	2.844e-45	1.084e+00
NEST:58	5.029e-01	1.364e-21	5.124e-01	1.751e-22	9.814e-01
NEST:73	4.183e-01	8.952e-15	4.282e-01	1.782e-15	9.770e-01
NEST:3	8.837e-01	3.398e-105	8.612e-01	5.054e-94	1.026e+00
NEST:32	3.524e-01	1.209e-10	2.726e-01	9.007e-07	1.293e+00
NEST:4	8.172e-01	6.613e-77	7.903e-01	1.431e-68	1.034e+00
NEST:1	9.220e-01	5.184e-131	8.436e-01	1.553e-86	1.093e+00
NEST:7	3.527e-01	1.172e-10	3.213e-01	5.379e-09	1.098e+00
NEST:50	5.824e-01	5.385e-30	6.078e-01	3.329e-33	9.581e-01
NEST:15	7.240e-01	2.080e-52	6.927e-01	2.430e-46	1.045e+00
NEST:10	6.502e-01	3.130e-39	6.569e-01	2.831e-40	9.898e-01
NEST:92	2.186e-01	9.186e-05	2.070e-01	2.160e-04	1.056e+00
NEST:9	5.025e-01	1.484e-21	5.100e-01	2.914e-22	9.852e-01
NEST:30	3.798e-01	3.026e-12	4.125e-01	2.282e-14	9.208e-01
NEST:79	3.262e-01	3.027e-09	4.462e-01	8.053e-17	7.311e-01
NEST:98	3.804e-01	2.767e-12	4.101e-01	3.316e-14	9.276e-01
NEST:5	2.708e-01	1.064e-06	3.303e-01	1.876e-09	8.200e-01
NEST:108	1.127e-01	4.573e-02	1.970e-01	4.375e-04	5.720e-01
NEST:102	4.804e-01	1.360e-19	4.987e-01	3.308e-21	9.634e-01
NEST:110	4.582e-01	9.416e-18	4.692e-01	1.203e-18	9.765e-01
NEST:107	4.786e-01	1.957e-19	4.594e-01	7.504e-18	1.042e+00
NEST:53	3.791e-01	3.344e-12	3.678e-01	1.585e-11	1.031e+00
NEST:65	5.397e-01	3.283e-25	2.887e-01	1.845e-07	1.870e+00
NEST:91	5.308e-01	2.729e-24	3.446e-01	3.285e-10	1.540e+00
NEST:8	4.899e-01	2.024e-20	4.874e-01	3.334e-20	1.005e+00
NEST:130	2.268e-01	4.847e-05	2.356e-01	2.402e-05	9.629e-01
NEST:38	5.985e-01	5.396e-32	4.851e-01	5.364e-20	1.234e+00
NEST:121	3.708e-02	5.120e-01	3.679e-02	5.153e-01	1.008e+00
NEST:119	2.878e-01	2.013e-07	2.881e-01	1.955e-07	9.990e-01
NEST:18	4.017e-01	1.210e-13	2.898e-01	1.641e-07	1.386e+00
NEST:25	3.648e-01	2.370e-11	2.136e-01	1.330e-04	1.708e+00
NEST:12	4.862e-01	4.295e-20	4.250e-01	3.036e-15	1.144e+00
NEST:60	4.214e-01	5.425e-15	3.911e-01	5.935e-13	1.078e+00
NEST:104	3.884e-01	8.824e-13	3.686e-01	1.431e-11	1.054e+00
NEST:2	6.129e-01	6.998e-34	6.054e-01	6.902e-33	1.012e+00
NEST:14	2.008e-01	3.364e-04	1.697e-01	2.519e-03	1.183e+00
NEST:174	2.621e-01	2.408e-06	2.511e-01	6.422e-06	1.044e+00
NEST:17	3.871e-01	1.055e-12	4.147e-01	1.603e-14	9.336e-01
NEST:19	3.522e-01	1.256e-10	3.982e-01	2.056e-13	8.844e-01
NEST:22	1.194e-01	3.408e-02	7.400e-02	1.902e-01	1.614e+00
NEST:20	1.898e-01	7.093e-04	2.527e-01	5.609e-06	7.511e-01
NEST:26	3.104e-01	1.833e-08	9.917e-02	7.884e-02	3.130e+00
NEST:23	1.660e-01	3.128e-03	2.465e-01	9.587e-06	6.734e-01
NEST:36	6.601e-02	2.427e-01	4.542e-02	4.218e-01	1.453e+00
NEST:16	2.066e-01	2.226e-04	2.619e-01	2.444e-06	7.887e-01
NEST:29	2.210e-01	7.647e-05	1.604e-01	4.308e-03	1.377e+00
NEST:31	1.529e-01	6.544e-03	1.996e-01	3.637e-04	7.660e-01
NEST:34	6.008e-01	2.747e-32	5.759e-01	3.144e-29	1.043e+00
NEST:40	1.795e-01	1.377e-03	1.471e-01	8.940e-03	1.220e+00
NEST:44	9.751e-02	8.400e-02	1.874e-01	8.329e-04	5.205e-01
