Term	P_rho	P_pval	C_rho	C_pval	RLIPP
NEST:121	9.331e-02	3.509e-01	7.597e-02	4.479e-01	1.228e+00
NEST:119	3.004e-01	2.156e-03	3.659e-01	1.558e-04	8.211e-01
NEST:18	4.546e-01	1.588e-06	4.995e-01	9.072e-08	9.101e-01
NEST:25	4.035e-01	2.610e-05	4.713e-01	5.738e-07	8.561e-01
NEST:12	4.434e-01	3.056e-06	4.255e-01	8.245e-06	1.042e+00
NEST:60	3.816e-01	7.589e-05	3.471e-01	3.521e-04	1.099e+00
NEST:104	4.944e-01	1.282e-07	4.704e-01	6.095e-07	1.051e+00
NEST:2	6.256e-01	2.060e-12	6.118e-01	8.467e-12	1.023e+00
NEST:14	2.208e-01	2.571e-02	1.741e-01	8.019e-02	1.269e+00
NEST:174	2.732e-01	5.458e-03	3.649e-01	1.624e-04	7.487e-01
NEST:17	4.156e-01	1.398e-05	4.804e-01	3.220e-07	8.651e-01
NEST:19	4.583e-01	1.278e-06	3.969e-01	3.618e-05	1.154e+00
NEST:22	-3.405e-02	7.340e-01	7.532e-02	4.518e-01	-4.521e-01
NEST:20	2.364e-02	8.135e-01	1.761e-01	7.666e-02	1.343e-01
NEST:26	3.942e-01	4.149e-05	1.467e-01	1.412e-01	2.687e+00
NEST:23	6.013e-02	5.483e-01	1.120e-01	2.624e-01	5.368e-01
NEST:36	2.071e-01	3.677e-02	9.491e-02	3.427e-01	2.182e+00
NEST:16	2.853e-01	3.659e-03	3.100e-01	1.521e-03	9.202e-01
NEST:29	2.295e-01	2.033e-02	2.122e-01	3.229e-02	1.082e+00
NEST:31	2.897e-02	7.726e-01	4.202e-02	6.750e-01	6.894e-01
NEST:34	5.718e-01	3.448e-10	4.799e-01	3.327e-07	1.191e+00
NEST:40	3.738e-02	7.091e-01	6.974e-02	4.861e-01	5.361e-01
NEST:44	2.340e-02	8.154e-01	-3.603e-02	7.192e-01	-6.495e-01
NEST:49	2.384e-01	1.580e-02	2.247e-01	2.315e-02	1.061e+00
NEST:66	4.112e-01	1.765e-05	4.463e-01	2.577e-06	9.212e-01
NEST:45	-3.083e-02	7.584e-01	2.214e-02	8.252e-01	-1.393e+00
NEST:69	-1.964e-02	8.447e-01	-1.348e-03	9.893e-01	1.457e+01
NEST:137	1.631e-01	1.015e-01	2.064e-01	3.741e-02	7.900e-01
NEST:145	4.011e-02	6.889e-01	3.448e-02	7.308e-01	1.163e+00
NEST:138	3.018e-01	2.053e-03	1.375e-01	1.681e-01	2.194e+00
NEST:168	4.784e-01	3.665e-07	2.562e-01	9.351e-03	1.867e+00
NEST:169	1.364e-01	1.717e-01	1.937e-01	5.113e-02	7.042e-01
NEST:127	2.969e-01	2.445e-03	3.547e-01	2.545e-04	8.370e-01
NEST:212	3.239e-01	8.979e-04	3.360e-01	5.554e-04	9.639e-01
NEST:170	2.007e-01	4.312e-02	2.612e-01	8.006e-03	7.683e-01
NEST:105	1.314e-01	1.879e-01	3.054e-01	1.801e-03	4.304e-01
NEST:77	1.767e-01	7.570e-02	2.423e-01	1.415e-02	7.292e-01
NEST:254	3.013e-01	2.092e-03	1.896e-01	5.634e-02	1.589e+00
NEST:52	4.298e-01	6.531e-06	1.432e-01	1.511e-01	3.002e+00
NEST:81	1.500e-02	8.811e-01	-1.331e-02	8.944e-01	-1.127e+00
NEST:146	3.158e-01	1.222e-03	2.655e-01	6.990e-03	1.189e+00
NEST:129	6.195e-02	5.362e-01	9.161e-03	9.272e-01	6.763e+00
NEST:112	5.065e-01	5.599e-08	3.308e-01	6.840e-04	1.531e+00
NEST:117	3.444e-01	3.936e-04	2.474e-01	1.218e-02	1.392e+00
NEST:123	2.294e-01	2.036e-02	3.119e-01	1.414e-03	7.355e-01
NEST:126	4.597e-01	1.171e-06	3.865e-01	5.995e-05	1.189e+00
NEST:133	2.316e-01	1.917e-02	2.439e-01	1.352e-02	9.497e-01
NEST:155	2.960e-01	2.526e-03	2.995e-01	2.231e-03	9.883e-01
NEST:177	4.627e-01	9.769e-07	4.966e-01	1.106e-07	9.317e-01
NEST:85	4.626e-01	9.816e-07	4.891e-01	1.826e-07	9.458e-01
NEST:150	3.734e-01	1.107e-04	4.005e-01	3.037e-05	9.325e-01
NEST:90	-1.899e-02	8.498e-01	5.894e-02	5.563e-01	-3.222e-01
NEST:61	2.631e-01	7.548e-03	2.044e-01	3.935e-02	1.287e+00
NEST:210	2.965e-01	2.477e-03	3.711e-01	1.230e-04	7.990e-01
NEST:55	5.132e-01	3.493e-08	5.018e-01	7.746e-08	1.023e+00
NEST:142	1.215e-01	2.238e-01	1.844e-01	6.361e-02	6.590e-01
NEST:153	3.576e-01	2.246e-04	1.971e-01	4.705e-02	1.814e+00
NEST:182	1.413e-01	1.567e-01	1.056e-01	2.906e-01	1.337e+00
NEST:221	2.517e-01	1.073e-02	2.231e-01	2.422e-02	1.128e+00
NEST:239	1.918e-01	5.342e-02	3.261e-01	8.233e-04	5.883e-01
NEST:132	3.740e-01	1.078e-04	9.167e-02	3.595e-01	4.080e+00
NEST:89	2.192e-01	2.683e-02	1.612e-01	1.054e-01	1.360e+00
NEST:195	3.138e-01	1.317e-03	2.797e-01	4.413e-03	1.122e+00
NEST:21	2.882e-01	3.311e-03	3.607e-01	1.962e-04	7.990e-01
NEST:70	-2.691e-02	7.884e-01	2.266e-01	2.203e-02	-1.188e-01
NEST:13	2.938e-01	2.727e-03	3.138e-01	1.319e-03	9.362e-01
NEST:256	2.193e-01	2.681e-02	3.223e-01	9.530e-04	6.803e-01
NEST:33	1.913e-02	8.486e-01	1.128e-01	2.591e-01	1.697e-01
NEST:47	5.313e-01	9.171e-09	3.143e-01	1.295e-03	1.690e+00
NEST:48	8.899e-02	3.738e-01	1.188e-01	2.344e-01	7.492e-01
NEST:63	3.284e-02	7.432e-01	1.546e-01	1.209e-01	2.125e-01
NEST:84	3.681e-01	1.411e-04	2.106e-01	3.358e-02	1.747e+00
NEST:202	8.718e-02	3.836e-01	1.833e-01	6.524e-02	4.757e-01
NEST:43	5.963e-02	5.516e-01	2.437e-01	1.357e-02	2.446e-01
NEST:51	1.867e-02	8.523e-01	1.989e-01	4.509e-02	9.387e-02
NEST:57	4.070e-01	2.186e-05	3.428e-01	4.201e-04	1.187e+00
NEST:82	3.788e-01	8.632e-05	3.844e-01	6.651e-05	9.856e-01
NEST:83	5.031e-01	7.100e-08	5.016e-01	7.846e-08	1.003e+00
NEST:165	4.449e-01	2.798e-06	4.786e-01	3.628e-07	9.297e-01
NEST:186	1.815e-01	6.795e-02	4.736e-02	6.365e-01	3.832e+00
NEST:193	2.713e-01	5.813e-03	1.346e-01	1.774e-01	2.015e+00
NEST:199	3.102e-01	1.507e-03	4.263e-01	7.898e-06	7.277e-01
NEST:293	3.610e-01	1.933e-04	4.833e-01	2.681e-07	7.470e-01
NEST:94	2.359e-01	1.699e-02	-1.229e-01	2.184e-01	-1.919e+00
NEST:97	5.311e-02	5.960e-01	2.359e-01	1.699e-02	2.252e-01
NEST:27	9.920e-02	3.212e-01	1.182e-01	2.369e-01	8.396e-01
NEST:158	2.573e-01	9.028e-03	2.049e-01	3.881e-02	1.256e+00
NEST:134	-1.379e-02	8.906e-01	1.665e-01	9.435e-02	-8.283e-02
NEST:42	1.480e-01	1.377e-01	1.696e-01	8.831e-02	8.724e-01
NEST:93	-8.104e-02	4.181e-01	1.172e-01	2.408e-01	-6.915e-01
NEST:35	1.823e-01	6.671e-02	1.499e-01	1.325e-01	1.216e+00
NEST:39	7.861e-02	4.322e-01	2.812e-01	4.200e-03	2.796e-01
NEST:11	4.307e-02	6.673e-01	1.636e-02	8.704e-01	2.633e+00
NEST:78	2.374e-01	1.627e-02	1.847e-01	6.306e-02	1.285e+00
NEST:24	3.189e-02	7.503e-01	8.805e-02	3.789e-01	3.622e-01
NEST:196	7.210e-02	4.714e-01	2.643e-01	7.277e-03	2.728e-01
NEST:163	1.124e-01	2.607e-01	1.705e-01	8.670e-02	6.593e-01
NEST:54	7.052e-02	4.812e-01	4.770e-02	6.340e-01	1.478e+00
NEST:277	8.689e-02	3.852e-01	1.723e-01	8.333e-02	5.043e-01
NEST:59	3.179e-01	1.130e-03	3.331e-01	6.248e-04	9.545e-01
NEST:125	1.579e-01	1.128e-01	1.744e-01	7.959e-02	9.057e-01
NEST:231	2.078e-01	3.609e-02	2.067e-01	3.714e-02	1.005e+00
NEST:80	2.060e-01	3.774e-02	2.073e-01	3.660e-02	9.941e-01
NEST	1.000e+00	0.000e+00	9.905e-01	1.658e-128	1.010e+00
NEST:6	5.929e-01	1.641e-15	6.268e-01	1.215e-17	9.458e-01
NEST:58	4.514e-01	7.588e-09	4.505e-01	8.197e-09	1.002e+00
NEST:73	5.315e-01	3.090e-12	5.075e-01	3.963e-11	1.047e+00
NEST:3	8.734e-01	8.550e-48	8.434e-01	1.679e-41	1.036e+00
NEST:32	3.725e-01	2.902e-06	3.947e-01	6.302e-07	9.436e-01
NEST:4	6.949e-01	8.262e-23	6.547e-01	1.348e-19	1.061e+00
NEST:1	9.132e-01	3.527e-59	8.466e-01	4.170e-42	1.079e+00
NEST:7	4.711e-01	1.329e-09	4.468e-01	1.113e-08	1.054e+00
NEST:50	5.299e-01	3.660e-12	5.551e-01	2.028e-13	9.546e-01
NEST:15	6.681e-01	1.314e-20	6.415e-01	1.214e-18	1.041e+00
NEST:10	5.375e-01	1.566e-12	5.128e-01	2.301e-11	1.048e+00
NEST:92	1.305e-01	1.126e-01	9.763e-02	2.362e-01	1.337e+00
NEST:9	5.017e-01	7.119e-11	4.383e-01	2.257e-08	1.145e+00
NEST:30	3.350e-01	2.967e-05	3.691e-01	3.629e-06	9.077e-01
NEST:79	2.978e-01	2.256e-04	3.962e-01	5.689e-07	7.517e-01
NEST:98	2.522e-01	1.913e-03	1.236e-01	1.332e-01	2.041e+00
NEST:5	5.372e-01	1.635e-12	5.542e-01	2.269e-13	9.693e-01
NEST:108	1.742e-01	3.363e-02	2.367e-01	3.661e-03	7.359e-01
NEST:102	4.047e-01	3.077e-07	4.494e-01	8.979e-09	9.005e-01
NEST:110	4.005e-01	4.162e-07	3.928e-01	7.243e-07	1.020e+00
NEST:107	3.697e-01	3.483e-06	3.577e-01	7.508e-06	1.033e+00
NEST:53	4.118e-01	1.807e-07	3.982e-01	4.912e-07	1.034e+00
NEST:65	5.624e-01	8.363e-14	6.621e-02	4.224e-01	8.495e+00
NEST:91	4.326e-01	3.604e-08	2.762e-01	6.502e-04	1.566e+00
NEST:8	5.557e-01	1.898e-13	5.194e-01	1.148e-11	1.070e+00
NEST:130	1.731e-01	3.481e-02	2.278e-01	5.203e-03	7.596e-01
NEST:38	6.237e-01	1.946e-17	4.080e-01	2.401e-07	1.529e+00
NEST:121	1.339e-02	8.712e-01	2.411e-02	7.704e-01	5.555e-01
NEST:119	2.448e-01	2.627e-03	2.326e-01	4.305e-03	1.052e+00
NEST:18	4.391e-01	2.118e-08	2.991e-01	2.110e-04	1.468e+00
NEST:25	3.702e-01	3.376e-06	2.765e-01	6.405e-04	1.339e+00
NEST:12	5.091e-01	3.346e-11	5.237e-01	7.221e-12	9.722e-01
NEST:60	3.736e-01	2.698e-06	3.325e-01	3.435e-05	1.124e+00
NEST:104	5.105e-01	2.915e-11	4.912e-01	2.022e-10	1.039e+00
NEST:2	6.692e-01	1.068e-20	6.691e-01	1.097e-20	1.000e+00
NEST:14	2.493e-01	2.168e-03	1.651e-01	4.414e-02	1.510e+00
NEST:174	2.971e-01	2.342e-04	2.612e-01	1.294e-03	1.137e+00
NEST:17	2.961e-01	2.461e-04	3.206e-01	6.718e-05	9.236e-01
NEST:19	2.460e-01	2.497e-03	2.384e-01	3.409e-03	1.032e+00
NEST:22	1.981e-01	1.543e-02	-8.066e-02	3.281e-01	-2.456e+00
NEST:20	3.397e-01	2.256e-05	4.166e-01	1.260e-07	8.153e-01
NEST:26	2.373e-01	3.572e-03	3.210e-02	6.975e-01	7.391e+00
NEST:23	2.049e-01	1.219e-02	3.145e-01	9.377e-05	6.515e-01
NEST:36	-8.034e-02	3.300e-01	-5.203e-02	5.286e-01	1.544e+00
NEST:16	2.723e-01	7.807e-04	2.700e-01	8.663e-04	1.008e+00
NEST:29	3.212e-01	6.494e-05	2.572e-01	1.546e-03	1.249e+00
NEST:31	3.469e-01	1.461e-05	4.160e-01	1.322e-07	8.340e-01
NEST:34	5.399e-01	1.204e-12	3.750e-01	2.460e-06	1.440e+00
NEST:40	1.421e-01	8.385e-02	1.039e-01	2.071e-01	1.367e+00
NEST:44	8.570e-02	2.987e-01	8.194e-02	3.205e-01	1.046e+00
NEST:49	3.421e-01	1.952e-05	2.875e-01	3.771e-04	1.190e+00
NEST:66	4.548e-01	5.664e-09	4.589e-01	3.967e-09	9.911e-01
NEST:45	1.603e-01	5.076e-02	1.931e-01	1.833e-02	8.306e-01
NEST:69	8.599e-02	2.971e-01	9.240e-02	2.624e-01	9.307e-01
NEST:137	2.864e-01	3.977e-04	2.393e-01	3.295e-03	1.197e+00
NEST:145	1.821e-01	2.625e-02	1.814e-01	2.684e-02	1.004e+00
NEST:138	2.947e-01	2.640e-04	1.392e-01	9.036e-02	2.117e+00
NEST:168	4.497e-01	8.717e-09	2.499e-01	2.117e-03	1.800e+00
NEST:169	2.441e-01	2.696e-03	2.533e-01	1.830e-03	9.639e-01
NEST:127	1.824e-01	2.601e-02	2.180e-01	7.575e-03	8.367e-01
NEST:212	4.533e-01	6.446e-09	3.831e-01	1.416e-06	1.183e+00
NEST:170	2.688e-01	9.194e-04	2.767e-01	6.363e-04	9.714e-01
NEST:105	1.349e-01	1.011e-01	2.975e-02	7.187e-01	4.532e+00
NEST:77	1.075e-02	8.964e-01	-3.149e-02	7.031e-01	-3.415e-01
NEST:254	3.378e-01	2.516e-05	3.619e-01	5.756e-06	9.334e-01
NEST:52	4.708e-01	1.368e-09	-4.909e-02	5.522e-01	-9.591e+00
NEST:81	2.090e-01	1.051e-02	4.612e-02	5.765e-01	4.532e+00
NEST:146	2.121e-01	9.425e-03	2.051e-01	1.210e-02	1.034e+00
NEST:129	1.979e-01	1.557e-02	2.599e-01	1.372e-03	7.614e-01
NEST:112	3.419e-01	1.973e-05	1.658e-02	8.410e-01	2.063e+01
NEST:117	3.576e-01	7.543e-06	3.811e-01	1.623e-06	9.383e-01
